Name;Price;Link;Image;Availability;Source
Crema reparatoare pentru dermatita seboreica Sebio Biome DS,...;63,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/corp/reparare/crema-reparatoare-pentru-dermatita-seboreica-sebio-biome-ds-50-ml-synergy-therm-p385927;https://media.farmaciatei.ro/gallery/111128/crma-repaatoarepentru-dermatita-seboreica-sebio-biome-ds-50-ml-synergy-therm-7684.png;true;Farmacia Tei
Sampon intensiv pentru dermatita seboreica Tioderm DS, 150 ml,...;66,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-intensiv-pentru-dermatita-seboreica-tioderm-ds-150-ml-braderm-p390635;https://media.farmaciatei.ro/gallery/121647/sampon-intensiv-pentru-dermatita-seboreica-tioderm-ds-150-ml-braderm-1134.jpg;true;Farmacia Tei
Gel de curatare pentru dermatita seboreica DS, 150 ml, Uriage;60,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/fata/ten-sensibil/gel-de-curatare-pentru-dermatita-seboreica-ds-150-ml-uriage-p301893;https://media.farmaciatei.ro/gallery/869/3661434000089%20-%20D.S.%20gel%20de%20curatare%20dermatita%20seboreica%20150%20ml%20(1).jpg;true;Farmacia Tei
Sampon DS, dermatita seboreica, 200 ml, Ceramol;59,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-ds-dermatita-seboreica-200-ml-ceramol-p384862;https://media.farmaciatei.ro/gallery/108354/sampon-ds-dermatita-seboreica-200-ml-ceramol-5501.png;true;Farmacia Tei
Sampon seboregulator Sebu-Balance Capilarte, 300 ml, Dermedic;51,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-seboregulator-sebu-balance-capilarte-300-ml-dermedic-p374801;https://media.farmaciatei.ro/gallery/83990/sampon-seboregulator-sebu-balance-capilarte-300-ml-dermedic-3154.jpg;true;Farmacia Tei
Sampon uleios pentru piele delicata si iritata Triderm, 200...;46,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-uleios-pentru-piele-delicata-si-iritata-triderm-200-ml-bionike-p371107;https://media.farmaciatei.ro/gallery/75064/sampon-uleios-pentru-piele-delicata-si-iritata-triderm-200-ml-bionike-7045.png;true;Farmacia Tei
Scrub detoxifiant pentru scalp, Head Spa, 150 ml, Rene Furterer;110,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/scrub-detoxifiant-pentru-scalp-head-spa-150-ml-rene-furterer-p374720;https://media.farmaciatei.ro/gallery/83802/scrub-detoxifiant-pentru-scalp-head-spa-150-ml-rene-furterer-7686.png;true;Farmacia Tei
Sampon seboreglator pentru par cu tendinta de ingrasare Hexaphane,...;47,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-seboreglator-pentru-par-cu-tendinta-de-ingrasare-hexaphane-250-ml-noreva-p337107;https://media.farmaciatei.ro/gallery/35633/sampon-seboreglator-pentru-par-cu-tendinta-de-ingrasare-hexaphane-250-ml-noreva-1674.jpg;true;Farmacia Tei
Lotiune tratament DS, dermatita seboreica, 50 ml, Ceramol;57,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/lotiune-tratament-ds-dermatita-seboreica-50-ml-ceramol-p384861;https://media.farmaciatei.ro/gallery/108352/lotiune-tratament-ds-dermatita-seboreica-50-ml-ceramol-4428.png;true;Farmacia Tei
Sampon-tratament sebocorector pentru scalp cu exces de sebum...;66,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-tratament-sebocorector-pentru-scalp-cu-exces-de-sebum-dercos-200-ml-vichy-p374904;https://media.farmaciatei.ro/gallery/84403/sampon-tratament-sebocorector-pentru-scalp-cu-exces-de-sebum-dercos-200-ml-vichy-6020.jpg;true;Farmacia Tei
